scientificname,authority,kingdom,phylum,class,order,family,genus
Potamopyrgus antipodarum,"(J. E. Gray, 1843)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus
Amphibalanus improvisus,"(Darwin, 1854)",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus
Mya arenaria,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya
Gammarus tigrinus,"Sexton, 1939",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus
Dreissena polymorpha,"Seninski, 1905",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena
Eriocheir sinensis,"H. Milne Edwards, 1853",Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir
Rhithropanopeus harrisii,"(Gould, 1841)",Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus
Acartia bifilosa,"Steuer, 1910",Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
Pacifastacus leniusculus,"(Dana, 1852)",Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus
Acanthocyclops robustus,"Mastrantuono & Stella, 1976",Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops
Potamothrix heuscheri,"(Bretscher, 1900)",Animalia,Annelida,Clitellata,Tubificida,Naididae,Potamothrix
Potamothrix vejdovskyi,"(Hrabĕ, 1941)",Animalia,Annelida,Clitellata,Tubificida,Naididae,Potamothrix
Eurytemora velox,"(Lilljeborg, 1853)",Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora
Thraustochytrium aureum,"Goldstein, 1963",Chromista,Bigyra,Labyrinthulea,Thraustochytrida,Thraustochytriaceae,Thraustochytrium
Gmelinoides fasciatus,"(Stebbing, 1899)",Animalia,Arthropoda,Malacostraca,Amphipoda,Micruropodidae,Gmelinoides
Didymosphenia geminatum,"M.Schmidt, 1899",Chromista,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Didymosphenia
Cercopagis pengoi pengoi,"(Ostroumov, 1891)",Animalia,Arthropoda,Branchiopoda,Onychopoda,Cercopagididae,Cercopagis
Pontogammarus robustoides,"(Sars, 1894)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontogammaridae,Pontogammarus
