"","BF1","BF2","BF3","BF4","BF5","BS1","BS2","BS3","BS4","BS5","FH1","FH2","FH3","FH4","FH5","F1","F2","F3","LD1","LD2","LD3","LH1","LH2","LH3","LH4","LH5","LH6","MV1","MV2","MV3","MV4","R1","R2","R3","R4","SO1","SO2","SO3"
"Alcyonidium.gelatinosum",0,0,0,0,3,0,0,2,2,1,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
"Allantactis.parasitica",2,0,0,0,1,0,0,2,1,0,0,0,2,1,0,3,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,3,0,0,2,1,0
"Amicula.vestita",0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Amphipoda",2,0,1,2,0,1,2,1,0,0,2,2,2,2,0,1,2,1,0,0,3,2,0,1,1,0.5,0,0,1,1,2,0,0,0,3,2,1,0
"Amphiura.sundevalli",0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,1,2,0
"Anomalisipho.martensi",1,0,0,0,2,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Anomalisipho.verkruezeni",1,0,0,0,2,1,1,2,0,0,0,0,2,2,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Anonyx.sp.",0,0,0,3,0,0,2,1,0,0,0,0,2,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
"Anthosactis.janmayeni",1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,3,0,NA,NA,NA,0,0,0,0,0,3,3,0,0,0,NA,NA,NA,NA,2,1,0
"Arcteobia.anticostiensis",0,2,1,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,2,0,2,0,0,0,3,0,0,0,3,0,2,1,0
"Arctolembos.arcticus",0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,1,2,0,0,0,3,0,0,3,0,0,0,0,2,0,2,0,0,0,3,3,0,0
"Arctonoe.vittata",0,2,1,0,0,0,3,0,0,0,3,0,0,0,0,1,2,0,3,0,0,1,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0
"Argis.sp.",0,0,1,2,0,0,0,3,0,0,0,0,0,3,0,0,2,1,3,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,3,1,2,0
"Ariadnaria.borealis",1,0,0,0,2,0,2,1,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Arrhis.luthkei",0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1,0
"Arrhis.phyllonyx",0,0,0,3,0,0,3,0,0,0,2,2,2,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0
"Ascidia.callosa",1,0,0,0,2,0,0,1,2,1,0,3,0,0,0,2,1,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,1,2,0
"Ascidiacea",2,1,2,0,2,0,0,2,1,0,0,3,0,0,0,1,2,1,1,2,1,1,0,0,0,1,2,3,0,0,0,1,2,0,2,1,2,2
"Asterias.amurensis",0,0,3,0,0,0,0,0,2,1,0,0,1,2,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0
"Atylus.bruggeni",0,0,0,3,0,2,2,0,0,0,3,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,0
"Atylus.carinatus",0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
"Atylus.smitti",0,0,0,3,0,1,2,0,0,0,3,0,0,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
"Aulacofusus.brevicauda",1,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Balanus.sp.",1,0,0,0,2,1,2,2,2,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,1,2,0
"Bathypolypus.sp..",2,0,0,0,2,0,0,1,2,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
"Beringius.stimpsoni",1,0,0,0,2,0,0,1,2,0,0,0,2,2,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
"Boltenia.echinata",1,0,0,0,2,0,1,2,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,1,2,0
"Boltenia.ovifera",1,0,0,0,2,0,0,1,2,0,0,3,0,0,0,0,1,2,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,1,2,0
"Boreoscala.greenlandica",1,0,0,0,2,0,0,3,0,0,0,0,0,2,1,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Boreotrophon.clathratus",1,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Boreotrophon.cymatus",1,0,0,0,2,0,2,2,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Boreotrophon.sp..",1,0,0,0,2,0,1,2,1,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Boreotrophon.truncatus",1,0,0,0,2,0,2,2,1,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Brachiopoda",0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,0,2,1,2,0,2,3,0,0,0,0,0,2,1,0,0,0,2,0,2,3,0,0
"Bryozoa",1,0,1,0,2,0,1,2,2,0,0,3,0,0,0,0,2,1,0,3,0,1,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
"Buccinum.angulosum",2,0,0,0,1,0,0,1,2,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Buccinum.ciliatum",2,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Buccinum.glaciale",2,0,0,0,1,0,0,2,1,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Buccinum.plectrum",2,0,0,0,1,0,2,2,2,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Buccinum.polare",2,0,0,0,1,0,2,2,1,0,0,0,2,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Buccinum.scalariforme",2,0,0,0,1,0,2,2,1,0,2,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0
"Buccinum.solenum",2,0,0,0,1,0,1,2,2,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Buccinum.sp..",2,0,0,0,1,0,2,2,1,0,2,0,2,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0
"Buccinum.tenellum",2,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Bylgides.promamme",0,2,1,0,0,0,2,1,0,0,0,0,0,3,0,1,2,0,3,0,0,0,0,0,2,2,0,0,0,2,1,0,3,0,0,1,2,0
"Bylgides.sarsii",0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,1,2,0,3,0,0,0,0,0,2,2,0,0,0,2,1,0,3,0,0,1,2,0
"Bylgides.sp.",0,2,1,0,0,0,2,1,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,1,2,0
