Date_Time2,Year,Air_T,Water_T,S
24.05.2008 12:00,2008,7.1,5,23
24.05.2008 17:00,2008,8.3,5.4,21
25.05.2008 0:00,2008,1.8,5,21
25.05.2008 12:00,2008,6.4,6.2,20
25.05.2008 18:00,2008,8.1,7.5,19
26.05.2008 0:00,2008,5.9,6,19
26.05.2008 12:00,2008,7.4,7.6,19
26.05.2008 18:00,2008,10,8.8,19
27.05.2008 0:00,2008,7.8,6.8,21
27.05.2008 12:00,2008,8.8,7,21
27.05.2008 18:00,2008,10.6,9.6,22
28.05.2008 0:00,2008,7.2,9.4,20
28.05.2008 12:00,2008,11.6,7.4,21
28.05.2008 18:00,2008,11.2,8.2,19
29.05.2008 0:00,2008,6.8,7.8,18
29.05.2008 12:00,2008,7,8.9,17
29.05.2008 18:00,2008,8.2,8.6,17
30.05.2008 0:00,2008,7.4,8.8,17
30.05.2008 12:00,2008,9.4,NA,19
30.05.2008 18:00,2008,11,8.5,20
31.05.2008 0:00,2008,7.4,6.9,18
31.05.2008 12:00,2008,9.6,8,18
31.05.2008 18:00,2008,11.4,9.8,18
01.06.2008 0:00,2008,9.2,9.2,19
01.06.2008 12:00,2008,12.1,9.9,19
01.06.2008 18:00,2008,14.2,10.4,18
02.06.2008 0:00,2008,11,8.6,18
02.06.2008 12:00,2008,13,9.4,19
02.06.2008 18:00,2008,15,8.8,20
03.06.2008 0:00,2008,9.4,7.6,21
03.06.2008 12:00,2008,10.1,8,21
03.06.2008 18:00,2008,10.6,10.1,20
04.06.2008 0:00,2008,6.6,8.1,19
04.06.2008 12:00,2008,10.2,8.1,19
04.06.2008 18:00,2008,12.6,9.2,18
05.06.2008 0:00,2008,7.4,7.5,19
05.06.2008 12:00,2008,9,9.2,18
05.06.2008 18:00,2008,10.6,7.9,20
06.06.2008 0:00,2008,7.2,6.1,21
06.06.2008 12:00,2008,7.1,6,22
06.06.2008 18:00,2008,8.4,6.4,22
07.06.2008 0:00,2008,4,4.6,23
07.06.2008 12:00,2008,6.2,3.4,25
07.06.2008 18:00,2008,10,5.6,22
08.06.2008 0:00,2008,6.8,6,22
08.06.2008 12:00,2008,4.3,4.4,23
08.06.2008 18:00,2008,6.6,5.4,23
09.06.2008 0:00,2008,3.8,4.4,24
09.06.2008 12:00,2008,6.6,4.9,23
10.06.2008 0:00,2008,4.6,4.2,24
10.06.2008 12:00,2008,6.5,5.2,22
11.06.2008 0:00,2008,5,6.6,21
11.06.2008 12:00,2008,3.2,6,20
11.06.2008 18:00,2008,5.8,4.8,21
12.06.2008 0:00,2008,5,4.6,22
12.06.2008 12:00,2008,5.8,4.8,23
13.06.2008 0:00,2008,7.4,5.6,22
13.06.2008 12:00,2008,6.2,5.6,21
13.06.2008 18:00,2008,8.6,6.2,21
14.06.2008 0:00,2008,7,7,18
14.06.2008 12:00,2008,8.4,7.6,18
14.06.2008 18:00,2008,9.8,10.2,18
15.06.2008 0:00,2008,9.8,7.8,20
15.06.2008 12:00,2008,11,9.1,21
15.06.2008 18:00,2008,10.4,10.8,20
16.06.2008 0:00,2008,9.4,9.2,20
16.06.2008 12:00,2008,13.4,9.8,18
16.06.2008 18:00,2008,11.8,12,19
17.06.2008 0:00,2008,10,10.1,22
17.06.2008 12:00,2008,17,10,20
17.06.2008 18:00,2008,16.5,13.6,19
18.06.2008 0:00,2008,15.5,12.8,17
18.06.2008 6:00,2008,11.2,15,20
18.06.2008 12:00,2008,13.7,15,17
18.06.2008 18:00,2008,15,15,19
19.06.2008 0:00,2008,12.8,11.1,NA
19.06.2008 6:00,2008,10.4,10.2,19
19.06.2008 12:00,2008,19.8,12.4,18
19.06.2008 18:00,2008,19.2,12,20
20.06.2008 0:00,2008,15.8,13.8,21
20.06.2008 6:00,2008,12.2,12.1,NA
20.06.2008 12:00,2008,13.4,14.5,NA
20.06.2008 18:00,2008,16,15.1,17
21.06.2008 0:00,2008,14.6,13.3,21
21.06.2008 6:00,2008,9.5,10.2,20
21.06.2008 12:00,2008,12,13.6,21
21.06.2008 18:00,2008,12.2,13,21
22.06.2008 0:00,2008,11,12.8,23
22.06.2008 6:00,2008,11,10.7,20
22.06.2008 12:00,2008,16,15.4,20
22.06.2008 18:00,2008,13.5,10.7,21
23.06.2008 0:00,2008,12.4,12.8,20
23.06.2008 6:00,2008,11.4,11.6,23
23.06.2008 12:00,2008,15.1,13.2,20
23.06.2008 18:00,2008,14,15,20
24.06.2008 0:00,2008,14.6,14.3,20
24.06.2008 6:00,2008,13.6,13.2,19
24.06.2008 12:00,2008,16.4,14.4,20
24.06.2008 18:00,2008,15,14,20
25.06.2008 0:00,2008,14.6,14.8,19
25.06.2008 6:00,2008,14.2,13,19
25.06.2008 12:00,2008,14.4,15,19
25.06.2008 18:00,2008,15.2,14.8,18
26.06.2008 0:00,2008,13.6,12.2,20
26.06.2008 6:00,2008,13.5,12.2,20
26.06.2008 12:00,2008,15,13.6,19
26.06.2008 18:00,2008,12,13.8,16
27.06.2008 0:00,2008,13.8,11.2,15
27.06.2008 6:00,2008,10,10.4,12
27.06.2008 12:00,2008,13.8,12.4,15
27.06.2008 18:00,2008,14.4,13.2,15
28.06.2008 0:00,2008,10.4,11.8,20
28.06.2008 6:00,2008,11,12.4,NA
28.06.2008 12:00,2008,NA,NA,18
28.06.2008 18:00,2008,15,14.2,18
29.06.2008 0:00,2008,13,13.2,16
29.06.2008 6:00,2008,12.5,13.5,15
29.06.2008 12:00,2008,14.6,14,16
29.06.2008 18:00,2008,NA,NA,15
30.06.2008 0:00,2008,13.2,14.8,17
30.06.2008 6:00,2008,10.7,10.1,18
30.06.2008 12:00,2008,18,15.3,15
30.06.2008 18:00,2008,18,17.3,15
01.07.2008 0:00,2008,14.2,14.8,17
01.07.2008 6:00,2008,14,15.4,17
01.07.2008 12:00,2008,16.6,16.3,18
01.07.2008 18:00,2008,17.9,17.2,20
02.07.2008 0:00,2008,14.8,15.1,NA
02.07.2008 12:00,2008,19.2,16.9,NA
03.07.2008 0:00,2008,17.6,16.8,19
03.07.2008 6:00,2008,14.7,15.8,20
03.07.2008 12:00,2008,21.4,15.2,20
03.07.2008 18:00,2008,24.5,17.5,18
04.07.2008 0:00,2008,13.5,15.3,17
04.07.2008 6:00,2008,13,15.8,14
04.07.2008 12:00,2008,12.8,15.6,15
04.07.2008 18:00,2008,12.8,14.6,17
05.07.2008 0:00,2008,8.6,13.8,17
05.07.2008 6:00,2008,7.2,13,16
05.07.2008 12:00,2008,11,12.8,18
05.07.2008 18:00,2008,9.8,12.6,17
06.07.2008 0:00,2008,NA,NA,18
06.07.2008 6:00,2008,7.4,10.9,18
06.07.2008 12:00,2008,8,10,19
06.07.2008 18:00,2008,NA,NA,18
07.07.2008 0:00,2008,NA,NA,20
07.07.2008 6:00,2008,NA,NA,20
07.07.2008 12:00,2008,NA,NA,20
07.07.2008 18:00,2008,NA,NA,20
08.07.2008 0:00,2008,4.2,6.8,23
08.07.2008 6:00,2008,5,6.9,22
08.07.2008 12:00,2008,7.8,6.4,20
08.07.2008 18:00,2008,7.6,6.2,23
09.07.2008 0:00,2008,5.8,6.4,22
09.07.2008 6:00,2008,7,6.8,22
09.07.2008 12:00,2008,9.8,7.4,21
09.07.2008 18:00,2008,10.3,7.3,22
10.07.2008 0:00,2008,9.2,NA,21
10.07.2008 6:00,2008,9,5.9,21
10.07.2008 12:00,2008,9.1,5.9,21
10.07.2008 18:00,2008,10.3,7.7,22
11.07.2008 0:00,2008,9,7.3,22
11.07.2008 6:00,2008,8.2,6.6,22
11.07.2008 12:00,2008,10.5,7.6,22
11.07.2008 18:00,2008,10.2,8,22
12.07.2008 0:00,2008,10.2,9,22
12.07.2008 6:00,2008,9.8,8.8,21
12.07.2008 12:00,2008,10,8.6,21
12.07.2008 18:00,2008,10.6,9.4,20
13.07.2008 0:00,2008,6.6,8.8,13
13.07.2008 6:00,2008,9.2,9.4,20
13.07.2008 12:00,2008,12.6,9.8,20
13.07.2008 18:00,2008,14,12.8,20
14.07.2008 0:00,2008,12.8,12.6,20
14.07.2008 6:00,2008,12,10.3,20
14.07.2008 12:00,2008,15.8,12,19
15.07.2008 0:00,2008,12.6,13.8,20
15.07.2008 6:00,2008,10.8,12.6,19
15.07.2008 12:00,2008,16.5,13.6,17
15.07.2008 18:00,2008,16.3,15.9,16
16.07.2008 0:00,2008,14.3,14.4,17
16.07.2008 6:00,2008,13,12.3,16
16.07.2008 12:00,2008,18,15,16
16.07.2008 18:00,2008,16,15.4,16
17.07.2008 0:00,2008,15.2,14.7,17
17.07.2008 6:00,2008,15,13,19
17.07.2008 12:00,2008,17.4,15.4,17
17.07.2008 18:00,2008,17.2,16,17
18.07.2008 0:00,2008,15.2,14.8,18
18.07.2008 6:00,2008,15.8,14,18
18.07.2008 12:00,2008,15.5,15.4,17
18.07.2008 18:00,2008,17.6,13.6,19
19.07.2008 0:00,2008,14.3,14.3,18
19.07.2008 6:00,2008,11.8,14.1,17
19.07.2008 12:00,2008,17.2,15.3,15
19.07.2008 18:00,2008,27,15,17
20.07.2008 0:00,2008,16.6,16.4,16
20.07.2008 6:00,2008,12.2,15.4,17
20.07.2008 12:00,2008,18.8,16.8,17
20.07.2008 18:00,2008,19.6,16.8,17
21.07.2008 0:00,2008,19.6,15.8,17
21.07.2008 6:00,2008,16.1,15.7,16
21.07.2008 12:00,2008,17.6,16.4,16
21.07.2008 18:00,2008,18.3,16.2,17
22.07.2008 0:00,2008,17.2,17,17
22.07.2008 6:00,2008,15.9,15.8,17
22.07.2008 12:00,2008,18.1,16.4,17
22.07.2008 18:00,2008,17.5,16.4,17
23.07.2008 0:00,2008,16.6,16.4,16
23.07.2008 6:00,2008,16,15.8,16
23.07.2008 12:00,2008,17.4,16.9,16
23.07.2008 18:00,2008,16.8,16.8,16
24.07.2008 0:00,2008,12.1,14.4,18
24.07.2008 6:00,2008,11.3,14.7,16
24.07.2008 12:00,2008,18,14.2,16
24.07.2008 18:00,2008,18.2,15,16
25.07.2008 0:00,2008,14.8,14.9,17
25.07.2008 6:00,2008,12.3,14,17
25.07.2008 12:00,2008,14.9,14.7,17
25.07.2008 18:00,2008,15.7,14.9,18
26.07.2008 0:00,2008,13.6,14.8,17
26.07.2008 6:00,2008,13,14.8,18
26.07.2008 12:00,2008,15.2,14.9,18
26.07.2008 18:00,2008,14.3,13.8,18
27.07.2008 0:00,2008,11,13.7,17
27.07.2008 6:00,2008,8,10.8,17
27.07.2008 12:00,2008,10.2,10.4,19
27.07.2008 18:00,2008,13,11,19
28.07.2008 0:00,2008,9.6,10.4,19
28.07.2008 6:00,2008,8.6,9.3,20
28.07.2008 12:00,2008,11.5,9.6,20
28.07.2008 18:00,2008,14.6,9.5,20
29.07.2008 0:00,2008,9.7,9.1,20
29.07.2008 6:00,2008,8.6,9.3,21
29.07.2008 12:00,2008,12.4,9.4,21
29.07.2008 18:00,2008,14.6,9.4,22
30.07.2008 0:00,2008,8.8,10.4,20
30.07.2008 6:00,2008,15.2,9.9,20
30.07.2008 12:00,2008,13.6,11.1,21
30.07.2008 18:00,2008,16.2,13,20
31.07.2008 0:00,2008,13.2,11.6,19
31.07.2008 6:00,2008,12,10.8,20
31.07.2008 12:00,2008,11.8,9.5,21
31.07.2008 18:00,2008,12.9,10,21
01.08.2008 0:00,2008,9.2,8.8,22
01.08.2008 6:00,2008,8.1,8.3,22
01.08.2008 12:00,2008,11,8.1,23
01.08.2008 18:00,2008,10.6,7,22
02.08.2008 0:00,2008,8,7,23
02.08.2008 6:00,2008,6.8,7.6,23
02.08.2008 12:00,2008,11,8.2,23
02.08.2008 18:00,2008,10,7.5,23
03.08.2008 0:00,2008,8,5.2,24
03.08.2008 6:00,2008,6,6.6,23
03.08.2008 12:00,2008,11,7.2,23
03.08.2008 18:00,2008,12,7.4,23
04.08.2008 0:00,2008,8.4,6,24
04.08.2008 6:00,2008,7.8,6,24
04.08.2008 12:00,2008,10.2,5.6,24
04.08.2008 18:00,2008,11,6.6,24
05.08.2008 0:00,2008,15,NA,25
05.08.2008 6:00,2008,7.9,5.4,25
05.08.2008 12:00,2008,11.2,5.4,25
05.08.2008 18:00,2008,10.6,7,24
06.08.2008 0:00,2008,6.4,7.2,25
06.08.2008 6:00,2008,3.2,3.8,25
06.08.2008 12:00,2008,9.6,5,24
06.08.2008 18:00,2008,12.6,5.4,25
07.08.2008 0:00,2008,10.2,5.8,24
07.08.2008 6:00,2008,8.4,5.8,24
07.08.2008 12:00,2008,11.8,7,24
07.08.2008 18:00,2008,13.2,7.6,24
08.08.2008 0:00,2008,9.2,6,24
08.08.2008 6:00,2008,14.7,5,24
08.08.2008 12:00,2008,11,7,24
08.08.2008 18:00,2008,12,6.9,24
09.08.2008 0:00,2008,NA,NA,23
09.08.2008 6:00,2008,11,6.8,24
09.08.2008 12:00,2008,11.9,6.9,24
09.08.2008 18:00,2008,11,7,23
10.08.2008 0:00,2008,7.8,7,NA
10.08.2008 6:00,2008,9,8,NA
10.08.2008 12:00,2008,10.2,6.8,NA
10.08.2008 18:00,2008,12.4,8.1,NA
11.08.2008 0:00,2008,9.4,10.2,23
11.08.2008 6:00,2008,NA,NA,22
11.08.2008 12:00,2008,10.2,8.8,20
11.08.2008 18:00,2008,10.2,10,19
12.08.2008 0:00,2008,NA,NA,20
12.08.2008 6:00,2008,9,9.5,19
12.08.2008 12:00,2008,10,8.2,22
12.08.2008 18:00,2008,10.6,7.2,22
13.08.2008 0:00,2008,10,7.8,22
13.08.2008 6:00,2008,15,7.6,22
13.08.2008 12:00,2008,11,5.8,21
13.08.2008 18:00,2008,11,11,21
14.08.2008 0:00,2008,13,11,22
14.08.2008 6:00,2008,10,10.6,20
14.08.2008 12:00,2008,16,9.8,21
14.08.2008 18:00,2008,16.2,11.2,22
15.08.2008 0:00,2008,15.1,9.6,23
15.08.2008 6:00,2008,14,8.1,24
15.08.2008 12:00,2008,15,10.6,24
15.08.2008 18:00,2008,14.2,10.4,22
16.08.2008 0:00,2008,10.4,9.4,22
16.08.2008 6:00,2008,16.2,NA,19
16.08.2008 12:00,2008,12,13,19
16.08.2008 18:00,2008,11,11.4,20
17.08.2008 0:00,2008,9.8,11.6,19
17.08.2008 6:00,2008,10,9.4,22
