Year,January,February,March,April,May,June,July,August,September,Ochtober,November,December
2006,19.447,18.953,18.917,19.477,20.455,21.698,22.969,23.722,23.576,22.756,21.616,20.397
2007,19.497,19.098,18.987,19.441,20.261,21.456,22.726,23.379,23.313,22.583,21.506,20.340
2008,19.359,19.012,19.021,19.328,20.324,21.627,22.806,23.502,23.417,22.530,21.334,20.250
2009,19.273,18.723,18.705,19.157,20.094,21.495,22.831,23.482,23.278,22.595,21.405,20.317
2010,19.374,19.067,19.155,19.716,20.617,21.824,23.056,23.858,23.673,22.757,21.574,20.445
2011,19.481,19.000,18.926,19.385,20.312,21.557,22.700,23.482,23.371,22.499,21.270,20.195
2012,19.275,18.899,18.899,19.376,20.327,21.682,22.986,23.769,23.677,22.768,21.509,20.384
2013,19.471,19.013,19.034,19.435,20.267,21.431,22.804,23.535,23.487,22.789,21.475,20.282
2014,19.283,18.858,18.798,19.208,20.167,21.450,22.838,23.678,23.545,22.736,21.414,20.307
2015,19.340,18.899,18.753,19.233,20.216,21.419,22.751,23.524,23.537,22.772,21.538,20.480
2016,19.582,19.061,19.073,19.484,20.518,21.802,23.054,23.805,23.698,22.830,21.745,20.588
2017,19.579,19.135,19.055,19.593,20.491,21.704,22.927,23.661,23.593,22.886,21.709,20.620
2018,19.529,18.974,19.022,19.376,20.179,21.387,22.645,23.467,23.408,22.599,21.240,20.199
2019,19.344,18.995,19.014,19.439,20.270,21.575,22.983,23.695,23.494,22.617,21.473,20.427
2020,19.458,19.273,19.264,19.688,20.452,21.676,22.997,23.808,23.571,22.773,21.502,20.450
2021,19.514,19.082,19.034,19.399,20.283,21.569,22.869,23.631,23.679,22.962,21.837,20.543
