ID;Species;Date;Region;Name;N_eggs;W_test;value;
4000_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;3;A_0;0;Angle
4001_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;3;A_0;0;Angle
4002_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;5;A_90;90;Angle
4003_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;5;A_90;90;Angle
4004_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;5;A_90;90;Angle
4005_2022;Гага обыкновенная;24.06.2022;Северный архипелаг;Седловатая;2;A_45;45;Angle
4006_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;3;A_0;0;Angle
4007_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;5;A_0;0;Angle
4008_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;4;A_0;0;Angle
4009_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;7;A_0;0;Angle
4010_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;5;A_90;90;Angle
4011_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;4;A_90;90;Angle
4012_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Поперечная Луда Вторая;7;A_90;90;Angle
4013_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_0;0;Angle
4014_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_10;10;Angle
4015_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_15;15;Angle
4016_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;5;A_90;90;Angle
4017_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_90;90;Angle
4018_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;2;A_0;0;Angle
4019_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;6;A_90;90;Angle
4020_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_90;90;Angle
4021_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;4;A_0;0;Angle
4022_2022;Гага обыкновенная;11.06.2022;Северный архипелаг;Песчанка;8;A_90;90;Angle
