"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";"EICAT";
"Alitta succinea";"Animalia";"Annelida";"Polychaeta";"Aciculata";"Nereididae";"Marine";"";
"Ascidiella aspersa";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Ascidiidae";"Marine";"";
"Bugula neritina";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Bugulidae";"Marine";"";
"Carijoa riisei";"Animalia";"Cnidaria";"Anthozoa";"Alcyonacea";"Clavulariidae";"Marine";"";
"Cercopagis pengoi";"Animalia";"Arthropoda";"Branchiopoda";"Diplostraca";"Cercopagidae";"Brackish";"";
"Crassostrea gigas";"Animalia";"Mollusca";"Bivalvia";"Ostreida";"Ostreidae";"Marine";"";
"Didemnum spp.";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Didemnidae";"Marine";"";
"Mnemiopsis leidyi";"Animalia";"Ctenophora";"Tentaculata";"Lobata";"Mnemiidae";"Marine";"";
"Musculista senhousia";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";"";
"Mya arenaria";"Animalia";"Mollusca";"Bivalvia";"Myoida";"Myidae";"Marine";"";
"Mycale grandis";"Animalia";"Porifera";"Demospongiae";"Poecilosclerida";"Mycalidae";"Marine";"";
"Mytilopsis sallei";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Dreissenidae";"Marine";"";
"Mytilus galloprovincialis";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";"";
"Perna perna";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";"";
"Perna viridis";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";"";
"Phyllorhiza punctata";"Animalia";"Cnidaria";"Scyphozoa";"Rhizostomeae";"Mastigiidae";"Marine";"";
"Rapana venosa";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Muricidae";"Marine";"";
"Rhithropanopeus harrisii";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Panopeidae";"Brackish";"";
"Schizoporella errata";"Animalia";"Ectoprocta";"Gymnolaemata";"Cheilostomata";"Schizoporellidae";"Marine";"";
"Styela clava";"Animalia";"Chordata";"Ascidiacea";"Pleurogona";"Styelidae";"Marine";"";
"Styela plicata";"Animalia";"Chordata";"Ascidiacea";"Pleurogona";"Styelidae";"Marine";"";
"Tubastraea coccinea";"Animalia";"Cnidaria";"Anthozoa";"Scleractinia";"Dendrophylliidae";"Marine";"";
