gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
609395830	44bcde48-ac71-46f2-bf73-24fc3c008b6c	urn:catalog:CAS:IZ:27900	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Polydora quadrilobata Jacobi, 1883	Polydora quadrilobata	Jacobi, 1883	US	Point Barrow	Alaska	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	71.455	-156.371667					25.9		1976-08-19	19	8	1976	5197904	2321463	PRESERVED_SPECIMEN	CAS	IZ	27900		R. E. Ruff	1978-01-01T00:00:00	CC0_1_0		P.A. Montagna			2025-10-07T22:03:11.873Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH
609392754	44bcde48-ac71-46f2-bf73-24fc3c008b6c	urn:catalog:CAS:IZ:23095	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Polydora quadrilobata Jacobi, 1883	Polydora quadrilobata	Jacobi, 1883	US	Beaufort Sea, central	Alaska	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	70.201667	-146.69					5.3		1978-08-25	25	8	1978	5197904	2321463	PRESERVED_SPECIMEN	CAS	IZ	23095		W.H. Lights	1988-04-14T00:00:00	CC0_1_0		A. C. Broad			2025-10-07T22:04:01.477Z		GEODETIC_DATUM_ASSUMED_WGS84
609392183	44bcde48-ac71-46f2-bf73-24fc3c008b6c	urn:catalog:CAS:IZ:22604	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Polydora quadrilobata Jacobi, 1883	Polydora quadrilobata	Jacobi, 1883	US	Beaufort Sea, east	Alaska	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	70.116667	-143.566667					3.2		1976-07-28	28	7	1976	5197904	2321463	PRESERVED_SPECIMEN	CAS	IZ	22604		W.H. Light	1988-04-14T00:00:00	CC0_1_0		D. Schneider			2025-10-07T22:04:21.840Z		GEODETIC_DATUM_ASSUMED_WGS84
609392181	44bcde48-ac71-46f2-bf73-24fc3c008b6c	urn:catalog:CAS:IZ:22603	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Polydora quadrilobata Jacobi, 1883	Polydora quadrilobata	Jacobi, 1883	US	Beaufort Sea, east	Alaska	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	70.116667	-143.566667					3.2		1976-07-28	28	7	1976	5197904	2321463	PRESERVED_SPECIMEN	CAS	IZ	22603		W.H. Light	1988-04-14T00:00:00	CC0_1_0		D. Schneider			2025-10-07T22:04:15.153Z		GEODETIC_DATUM_ASSUMED_WGS84
609391909	44bcde48-ac71-46f2-bf73-24fc3c008b6c	urn:catalog:CAS:IZ:22402	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Polydora quadrilobata Jacobi, 1883	Polydora quadrilobata	Jacobi, 1883	US	Chukchi Sea, north	Alaska	PRESENT		66522820-055c-11d8-b84e-b8a03c50a862	70.284167	-161.931667					1.0		1977-08-16	16	8	1977	5197904	2321463	PRESERVED_SPECIMEN	CAS	IZ	22402		W.H. Light	1988-04-14T00:00:00	CC0_1_0		A. Benedict			2025-10-07T22:03:45.119Z		GEODETIC_DATUM_ASSUMED_WGS84
5835875918	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:136978281	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Dipolydora quadrilobata (Jacobi, 1883)	Dipolydora quadrilobata		NO	VannlokalitetID:106972		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	66.39973	12.39977	99.0						2021-04-12	12	4	2021	2321463	2321463	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-04-12T00:00:00	CC_BY_4_0		Aqua Kompetanse AS			2025-10-11T12:20:13.293Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835847108	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:123964431	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Dipolydora quadrilobata (Jacobi, 1883)	Dipolydora quadrilobata		NO	VannlokalitetID:105792		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	66.16417	12.92787	99.0						2021-08-17	17	8	2021	2321463	2321463	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-08-17T00:00:00	CC_BY_4_0		Åkerblå AS			2025-10-11T12:20:13.109Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835812130	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:119989483	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Dipolydora quadrilobata (Jacobi, 1883)	Dipolydora quadrilobata		NO	VannlokalitetID:92507		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.4164	16.79633	99.0						2021-05-04	4	5	2021	2321463	2321463	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-05-04T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:20:13.942Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835774803	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:147825518	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Dipolydora quadrilobata (Jacobi, 1883)	Dipolydora quadrilobata		NO	VannlokalitetID:96767		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	70.08567	22.66725	99.0						2021-10-28	28	10	2021	2321463	2321463	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-10-28T00:00:00	CC_BY_4_0		Akvaplan-niva AS			2025-10-11T12:19:50.912Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5835758279	46293000-ddd1-4c32-a1e7-b5e793223ecd	miljodir:vannmiljo:179491463	Animalia	Annelida	Polychaeta		Spionidae	Dipolydora	Dipolydora quadrilobata		SPECIES	Dipolydora quadrilobata (Jacobi, 1883)	Dipolydora quadrilobata		NO	VannlokalitetID:110785		PRESENT	1	c227aa75-e44d-42b3-89b5-3d2a6210c841	68.9266	17.1417	99.0						2021-07-03	3	7	2021	2321463	2321463	HUMAN_OBSERVATION	miljodir	vannmiljo				2021-07-03T00:00:00	CC_BY_4_0		Sea Eco AS			2025-10-11T12:20:01.467Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
