Site;Shore;Sample;Position;Lat;Lon;N_T;N_E
Anis;Karel;Anis1;Algae;67.06733333;32.56813333;26;154
Anis;Karel;Anis2;Bottom;67.06733333;32.56813333;2;71
Anis;Karel;Anis3;Algae;67.06733333;32.56813333;37;124
Anis;Karel;Anis4;Bottom;67.06733333;32.56813333;0;30
Anis;Karel;Anis5;Algae;67.06733333;32.56813333;53;149
Anis;Karel;Anis6;Bottom;67.06733333;32.56813333;2;30
BBS;Karel;BBS1;Algae;66.553319;33.103466;32;148
BBS;Karel;BBS2;Bottom;66.553319;33.103466;42;81
BBS;Karel;BBS3;Algae;66.553319;33.103466;59;215
BBS;Karel;BBS4;Bottom;66.553319;33.103466;46;76
BBS;Karel;BBS5;Algae;66.553319;33.103466;16;99
BBS;Karel;BBS6;Bottom;66.553319;33.103466;51;151
Ber;Kand;Ber1;Algae;67.103529;32.518556;83;49
Ber;Kand;Ber2;Bottom;67.103529;32.518556;0;13
Ber;Kand;Ber3;Algae;67.103529;32.518556;255;50
Ber;Kand;Ber4;Bottom;67.103529;32.518556;12;35
Ber;Kand;Ber5;Algae;67.103529;32.518556;86;85
Ber;Kand;Ber6;Bottom;67.103529;32.518556;13;38
Bersakol;Kand;Bersakol1;Algae;66.99566667;32.82041667;31;107
Bersakol;Kand;Bersakol2;Bottom;66.99566667;32.82041667;1;105
Bersakol;Kand;Bersakol3;Algae;66.99566667;32.82041667;9;28
Bersakol;Kand;Bersakol4;Bottom;66.99566667;32.82041667;3;181
Bersakol;Kand;Bersakol5;Algae;66.99566667;32.82041667;13;72
Bersakol;Kand;Bersakol6;Bottom;66.99566667;32.82041667;5;176
Dem;Karel;DEM1;Algae;67.03525;32.59441667;15;78
Dem;Karel;DEM2;Bottom;67.03525;32.59441667;10;115
Dem;Karel;DEM3;Algae;67.03525;32.59441667;23;89
Dem;Karel;DEM4;Bottom;67.03525;32.59441667;6;79
Dem;Karel;DEM5;Algae;67.03525;32.59441667;13;122
Dem;Karel;DEM6;Bottom;67.03525;32.59441667;16;101
Ir;Karel;Ir1;Algae;67.05093333;32.48115;148;216
Ir;Karel;Ir2;Bottom;67.05093333;32.48115;30;78
Ir;Karel;Ir3;Algae;67.05093333;32.48115;160;205
Ir;Karel;Ir4;Bottom;67.05093333;32.48115;23;125
Ir;Karel;Ir5;Algae;67.05093333;32.48115;91;94
Ir;Karel;Ir6;Bottom;67.05093333;32.48115;19;73
