Year;Bank;Mussel;FA
2004;korg;53;80
2004;korg;98;7
2004;korg;66;56
2004;korg;76;35
2004;korg;54;28
2004;korg;62;28
2004;korg;80;67
2004;korg;89;43
2004;korg;99;48
2004;mat;100;1
2004;mat;93;2
2004;mat;93;7
2004;mat;98;1
2004;mat;99;4
2004;mat;95;30
2004;mat;95;8
2004;mat;54;6
2004;vor2;27;54
2004;vor2;15;94
2004;vor2;56;65
2004;vor2;45;73
2004;vor2;40;71
2004;vor2;23;93
2004;vor2;82;61
2004;vor2;69;60
2004;vor2;76;35
2004;vor2;92;41
2004;vor2;93;11
2004;vor3;66;15
2004;vor3;11;30
2004;vor3;36;35
2004;vor3;77;15
2004;vor3;28;3
2004;vor3;69;6
2004;vor3;62;60
2004;vor3;88;16
2004;vor3;33;72
2004;vor3;85;25
2004;vor3;8;87
2004;vor4;93;52
2004;vor4;57;46
2004;vor4;78;32
2004;vor4;100;0
2004;vor4;37;71
2004;vor4;38;60
2004;vor4;92;55
2004;vor4;98;6
2004;vor4;86;25
2004;vor5;100;5
2004;vor5;7;93
2004;vor5;100;0
2004;vor5;99;5
2004;vor5;93;14
2004;vor5;92;14
2004;vor5;83;22
2004;vor5;51;74
2004;vor5;30;74
2004;vor5;17;72
2005;korg;87;28
2005;korg;83;42
2005;korg;80;15
2005;korg;72;45
2005;korg;82;53
2005;korg;95;31
2005;korg;81;8
2005;korg;39;63
2005;korg;100;0
2005;korg;91;30
2005;mat;100;0
2005;mat;85;1
2005;mat;100;0
2005;mat;100;6
2005;mat;100;22
2005;mat;100;1
2005;mat;99;5
2005;mat;96;16
2005;mat;100;0
2005;mat;100;0
2005;vor2;3;90
2005;vor2;77;44
2005;vor2;58;74
2005;vor2;46;71
2005;vor2;64;45
2005;vor2;48;69
2005;vor2;94;16
2005;vor2;92;21
2005;vor2;95;11
2005;vor2;60;54
2005;vor3;8;86
2005;vor3;74;33
2005;vor3;79;12
2005;vor3;81;36
2005;vor3;48;44
2005;vor3;22;35
2005;vor3;21;68
2005;vor3;85;14
2005;vor3;85;7
2005;vor3;67;26
2005;vor4;71;34
2005;vor4;100;7
2005;vor4;96;31
2005;vor4;99;18
2005;vor4;99;9
2005;vor4;90;3
2005;vor4;100;1
2005;vor4;94;5
2005;vor4;98;9
2005;vor4;79;85
2005;vor4;99;0
2005;vor4;97;11
2005;vor5;85;23
2005;vor5;44;53
2005;vor5;72;36
2005;vor5;78;33
2005;vor5;75;65
2005;vor5;92;4
2005;vor5;72;68
2005;vor5;24;75
2005;vor5;100;0
2005;vor5;42;65
2006;korg;34;12
2006;korg;0;68
2006;korg;62;32
2006;korg;90;29
2006;korg;90;23
2006;korg;5;29
2006;korg;44;19
2006;korg;55;37
2006;korg;84;4
2006;korg;38;49
2006;korg;39;27
2006;korg;100;8
2006;korg;56;72
2006;korg;19;49
2006;korg;65;33
2006;korg;75;26
2006;mat;100;12
2006;mat;97;29
2006;mat;82;53
2006;mat;92;21
2006;mat;100;21
2006;mat;98;9
2006;mat;100;9
2006;mat;97;20
2006;mat;100;15
2006;mat;100;22
2006;mat;58;86
2006;mat;100;22
2006;mat;100;13
2006;mat;100;40
2006;mat;90;31
2006;mat;93;5
2006;vor2;52;55
2006;vor2;23;78
2006;vor2;5;83
2006;vor2;21;75
2006;vor2;64;65
2006;vor2;100;14
2006;vor2;74;43
2006;vor2;24;71
2006;vor2;19;62
2006;vor2;95;19
2006;vor2;42;68
2006;vor2;27;85
2006;vor2;20;71
2006;vor2;36;69
2006;vor2;9;86
2006;vor2;60;60
2006;vor3;7;3
2006;vor3;42;42
2006;vor3;14;58
2006;vor3;37;17
2006;vor3;37;3
2006;vor3;69;14
2006;vor3;31;53
2006;vor3;73;27
2006;vor3;16;32
2006;vor3;99;24
2006;vor4;30;48
2006;vor4;32;57
2006;vor4;43;42
2006;vor4;98;5
2006;vor4;70;62
2006;vor4;72;26
2006;vor4;39;44
2006;vor4;39;42
2006;vor4;90;38
2006;vor4;100;3
2006;vor4;24;73
2006;vor4;0;33
2006;vor4;8;25
2006;vor4;9;62
2006;vor4;17;81
2006;vor4;13;67
2006;vor5;61;48
2006;vor5;98;14
2006;vor5;89;48
2006;vor5;89;14
2006;vor5;70;27
2006;vor5;55;46
2006;vor5;25;68
2006;vor5;74;43
2006;vor5;77;22
2006;vor5;50;44
2006;vor5;85;16
2006;vor5;78;32
2006;vor5;22;80
2006;vor5;94;6
2006;vor5;84;29
2006;vor5;64;60
2007;korg;65;73
2007;korg;90;29
2007;korg;100;11
2007;korg;84;16
2007;korg;66;13
2007;korg;100;3
2007;korg;43;37
2007;korg;2;78
2007;korg;12;54
2007;korg;95;14
2007;korg;66;46
2007;korg;17;77
2007;korg;87;42
2007;korg;53;54
2007;korg;11;76
2007;mat;99;30
2007;mat;97;33
2007;mat;100;2
2007;mat;100;1
2007;mat;100;1
2007;mat;92;26
2007;mat;59;11
2007;mat;100;8
2007;mat;100;0
2007;mat;100;1
2007;vor2;25;74
2007;vor2;6;75
2007;vor2;42;66
2007;vor2;86;32
2007;vor2;6;86
2007;vor2;80;43
2007;vor2;23;53
2007;vor2;100;1
2007;vor2;5;86
2007;vor2;89;52
2007;vor2;66;53
2007;vor2;48;59
2007;vor2;9;52
2007;vor2;11;47
2007;vor2;34;60
2007;vor4;23;60
2007;vor4;48;44
2007;vor4;7;72
2007;vor4;92;56
2007;vor4;59;51
2007;vor4;1;80
2007;vor4;27;58
2007;vor4;15;54
2007;vor4;15;79
2007;vor4;6;67
2007;vor4;6;87
2007;vor4;10;92
2007;vor4;13;35
2007;vor4;58;65
2007;vor4;1;78
2007;vor5;99;7
2007;vor5;100;9
2007;vor5;79;38
2007;vor5;71;45
2007;vor5;53;68
2007;vor5;29;58
2007;vor5;98;17
2007;vor5;83;24
2007;vor5;88;26
2007;vor5;71;53
2008;korg;79;20
2008;korg;96;35
2008;korg;93;2
2008;korg;95;29
2008;korg;72;15
2008;korg;61;8
2008;korg;94;4
2008;korg;88;37
2008;korg;100;14
2008;korg;75;18
2008;korg;57;31
2008;korg;37;71
2008;korg;41;31
2008;mat;100;14
2008;mat;88;18
2008;mat;100;4
2008;mat;100;19
2008;mat;68;32
2008;mat;100;4
2008;mat;92;5
2008;mat;99;7
2008;mat;100;2
2008;mat;100;1
2008;vor2;43;33
2008;vor2;59;34
2008;vor2;36;6
2008;vor2;83;8
2008;vor2;85;24
2008;vor2;41;51
2008;vor2;29;61
2008;vor2;18;58
2008;vor2;93;7
2008;vor2;46;49
2008;vor2;33;30
2008;vor2;79;37
2008;vor2;7;50
2008;vor2;4;74
2008;vor2;20;55
2008;vor2;57;45
2008;vor2;78;14
2008;vor2;64;27
2008;vor2;7;70
2008;vor2;15;66
2008;vor4;65;72
2008;vor4;94;16
2008;vor4;48;78
2008;vor4;79;41
2008;vor4;70;18
2008;vor4;78;11
2008;vor4;95;6
2008;vor4;92;9
2008;vor4;100;6
2008;vor4;91;26
2008;vor4;92;36
2008;vor4;98;18
2008;vor4;91;30
2008;vor4;97;9
2008;vor4;10;11
2008;vor5;100;43
2008;vor5;98;3
2008;vor5;92;7
2008;vor5;61;14
2008;vor5;91;4
2008;vor5;100;1
2008;vor5;99;3
2008;vor5;100;0
2008;vor5;59;21
2008;vor5;44;36
2009;korg;100;9
2009;korg;100;2
2009;korg;100;25
2009;korg;98;15
2009;korg;99;3
2009;korg;71;27
2009;korg;62;34
2009;korg;78;20
2009;korg;90;8
2009;korg;98;8
2009;korg;86;2
2009;korg;84;27
2009;korg;88;1
2009;korg;100;6
2009;korg;70;3
2009;korg;100;2
2009;korg;75;25
2009;korg;67;74
2009;korg;100;0
2009;korg;87;24
2009;mat;100;5
2009;mat;97;5
2009;mat;71;23
2009;mat;94;41
2009;mat;100;59
2009;mat;100;15
2009;mat;34;10
2009;mat;100;0
2009;mat;100;0
2009;mat;100;0
2009;mat;64;19
