Year,Station,Taxa,Value
2016,1.1,Ampelisca_macrocephala,0
2016,1.2,Ampelisca_macrocephala,1
2016,1.3,Ampelisca_macrocephala,0
2016,2.1,Ampelisca_macrocephala,0
2016,2.2,Ampelisca_macrocephala,0
2016,2.3,Ampelisca_macrocephala,0
2016,3.1,Ampelisca_macrocephala,0
2016,3.2,Ampelisca_macrocephala,0
2016,3.3,Ampelisca_macrocephala,0
2016,4.1,Ampelisca_macrocephala,0
2016,4.2,Ampelisca_macrocephala,0
2016,4.3,Ampelisca_macrocephala,0
2016,5.1,Ampelisca_macrocephala,0
2016,5.2,Ampelisca_macrocephala,0
2016,5.3,Ampelisca_macrocephala,0
2016,1.1,Anonyx_nugax,0
2016,1.2,Anonyx_nugax,1
2016,1.3,Anonyx_nugax,2
2016,2.1,Anonyx_nugax,0
2016,2.2,Anonyx_nugax,0
2016,2.3,Anonyx_nugax,0
2016,3.1,Anonyx_nugax,0
2016,3.2,Anonyx_nugax,0
2016,3.3,Anonyx_nugax,0
2016,4.1,Anonyx_nugax,0
2016,4.2,Anonyx_nugax,0
2016,4.3,Anonyx_nugax,0
2016,5.1,Anonyx_nugax,0
2016,5.2,Anonyx_nugax,0
2016,5.3,Anonyx_nugax,0
2016,1.1,Arenicola_marina,0
2016,1.2,Arenicola_marina,0
2016,1.3,Arenicola_marina,0
2016,2.1,Arenicola_marina,0
2016,2.2,Arenicola_marina,0
2016,2.3,Arenicola_marina,0
2016,3.1,Arenicola_marina,0
2016,3.2,Arenicola_marina,0
2016,3.3,Arenicola_marina,0
2016,4.1,Arenicola_marina,0
2016,4.2,Arenicola_marina,5
2016,4.3,Arenicola_marina,1
2016,5.1,Arenicola_marina,0
2016,5.2,Arenicola_marina,0
2016,5.3,Arenicola_marina,0
2016,1.1,Ariadnaria_borealis,0
2016,1.2,Ariadnaria_borealis,0
2016,1.3,Ariadnaria_borealis,0
2016,2.1,Ariadnaria_borealis,0
2016,2.2,Ariadnaria_borealis,0
2016,2.3,Ariadnaria_borealis,0
2016,3.1,Ariadnaria_borealis,0
2016,3.2,Ariadnaria_borealis,0
2016,3.3,Ariadnaria_borealis,0
2016,4.1,Ariadnaria_borealis,0
2016,4.2,Ariadnaria_borealis,0
2016,4.3,Ariadnaria_borealis,0
2016,5.1,Ariadnaria_borealis,0
2016,5.2,Ariadnaria_borealis,0
2016,5.3,Ariadnaria_borealis,1
2016,1.1,Aricidea_nolani,0
2016,1.2,Aricidea_nolani,0
2016,1.3,Aricidea_nolani,0
2016,2.1,Aricidea_nolani,0
2016,2.2,Aricidea_nolani,0
2016,2.3,Aricidea_nolani,0
2016,3.1,Aricidea_nolani,5
2016,3.2,Aricidea_nolani,14
2016,3.3,Aricidea_nolani,17
2016,4.1,Aricidea_nolani,0
2016,4.2,Aricidea_nolani,0
2016,4.3,Aricidea_nolani,1
2016,5.1,Aricidea_nolani,0
2016,5.2,Aricidea_nolani,1
2016,5.3,Aricidea_nolani,1
2016,1.1,Atilys_carinatus,0
2016,1.2,Atilys_carinatus,0
2016,1.3,Atilys_carinatus,0
2016,2.1,Atilys_carinatus,1
2016,2.2,Atilys_carinatus,0
2016,2.3,Atilys_carinatus,0
2016,3.1,Atilys_carinatus,0
2016,3.2,Atilys_carinatus,0
